Division NO,Member Name,No.of days Members signed the Register,No.of days Members not signed the Register
Division NO,Member Name,No. of days Members signed the Register,No. of days Members not signed the Register
474,Smt.  Sumitra  Mahajan,30,2
473,Shri  Kailash  Joshi,30,2
472,Shri  Arjun  Munda,28,4
471,Shri  Harin  Pathak,26,6
470,Smt.  Bijoya  Chakravarty,31,1
469,Shri  Dilip Singh  Judev,21,11
468,Shri  Kabindra  Purkayastha,31,1
467,Smt.  Maneka  Gandhi,27,5
466,Shri  Jaswant  Singh,12,20
465,Shri    Ananth Kumar,26,6
464,Shri  Ramesh  Bais,32,0
463,Shri  Yashwant  Sinha,31,1
462,Shri  Hukamdeo Narayan  Yadav,31,1
461,Shri  Syed Shahnawaz  Hussain,32,0
460,Shri  Shatrughan  Sinha,25,7
457,Shri  Lal Krishna  Advani,32,0
456,Shri   Gopinathrao  Pandurang   Munde,28,4
455,Shri  Rajnath  Singh,24,8
454,Dr.  Murli Manohar  Joshi,29,3
453,Shri  S.  Pakkirappa,18,14
452,Shri  Ramesh  Vishwanath   Katti,18,14
451,Dr.  Rajan  Sushant,31,1
450,Shri  Udasi Shivkumar  Chanabasappa,31,1
449,Shri  Shivarama  Gouda,18,14
448,Shri  Virender  Kashyap,28,4
447,Shri  Joseph  Toppo,30,2
446,Shri  Sher Singh  Ghubaya,27,5
445,Shri  Maheshwar  Hazari,30,2
444,Shri  Kaushalendra  Kumar,31,1
442,Shri  Laxman  Tudu,17,15
441,Shri  Sidhant  Mohapatra,20,12
440,Shri   Raju Shetti,25,7
439,Shri    Varun  Gandhi,26,6
438,Shri  Rajendra  Agarwal,32,0
437,Prof.(Dr.)  Ram Shankar  Katheria,21,11
436,Shri  Kamlesh  Paswan,26,6
435,Shri   Bhausaheb  Rajaram   Wakchaure,25,7
434,Shri  Bhudeo  Choudhary,29,3
433,Smt.  Meena  Singh,31,1
432,Adv.   Ganeshrao  Nagorao Dudhgaonkar,32,0
431,Shri  Gajanan D.  Babar,23,9
430,Shri  Y.S.Jagan Mohan  Reddy,26,6
429,Shri  Kristappa  Nimmala,22,10
428,Shri  Kalikesh N. Singh  Deo,28,4
427,Shri  Yashbant N.S.  Laguri,20,12
426,Kum.  Saroj  Pandey,31,1
425,Smt.  Darshana  Jardosh,29,3
424,Shri  Purnmasi  Ram,30,2
423,Shri  Mahabali  Singh,30,2
422,Shri  Subhash Bapurao  Wankhede,20,12
